nohup: ignoring input

=======================================================
[1/10] Intersecting 'fruits' and 'animals'
=======================================================

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3887.41it/s]
[ep 9 | step 610] KL_a=1.7752 KL_b=0.6827 margin_a=3.117 margin_b=4.633 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=3.188 λcore=3.188 | sparsity=2254.5522 total=2257.1958
[ep 9 | step 620] KL_a=2.3238 KL_b=0.6710 margin_a=5.105 margin_b=3.688 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=3.087 λcore=3.087 | sparsity=1987.3208 total=1990.0720
[ep 10 | step 630] KL_a=3.9882 KL_b=0.6901 margin_a=6.414 margin_b=5.102 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=2.954 λcore=2.954 | sparsity=1732.7246 total=1735.8668
[ep 10 | step 640] KL_a=2.7026 KL_b=0.6400 margin_a=4.035 margin_b=4.398 acc_a=0.00 acc_b=0.12 | λa=0.000 λb=2.948 λcore=2.948 | sparsity=1573.7236 total=1576.4878
[ep 10 | step 650] KL_a=1.3333 KL_b=0.5816 margin_a=2.617 margin_b=3.742 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=2.966 λcore=2.966 | sparsity=1440.5627 total=1443.0311
[ep 10 | step 660] KL_a=1.1227 KL_b=0.5782 margin_a=3.680 margin_b=4.352 acc_a=0.00 acc_b=0.12 | λa=0.000 λb=2.865 λcore=2.865 | sparsity=1266.1221 total=1268.7207
[ep 10 | step 670] KL_a=1.9900 KL_b=0.6588 margin_a=4.535 margin_b=4.172 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=2.619 λcore=2.619 | sparsity=1053.4540 total=1056.1814
[ep 10 | step 680] KL_a=1.6669 KL_b=0.6204 margin_a=5.641 margin_b=4.828 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=2.633 λcore=2.633 | sparsity=964.4642 total=967.3272
[ep 10 | step 690] KL_a=2.0348 KL_b=0.5558 margin_a=6.281 margin_b=3.094 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=2.683 λcore=2.684 | sparsity=899.4055 total=902.1783
[ep 11 | step 700] KL_a=2.8496 KL_b=0.5574 margin_a=3.711 margin_b=4.125 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=2.608 λcore=2.608 | sparsity=819.0128 total=821.7318
[ep 11 | step 710] KL_a=2.1021 KL_b=0.5452 margin_a=3.824 margin_b=4.375 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=2.579 λcore=2.579 | sparsity=777.3342 total=780.0225
[ep 11 | step 720] KL_a=1.1031 KL_b=0.5571 margin_a=1.711 margin_b=4.719 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=2.482 λcore=2.482 | sparsity=733.9131 total=736.3796
[ep 11 | step 730] KL_a=0.6062 KL_b=0.7127 margin_a=3.734 margin_b=4.797 acc_a=0.12 acc_b=0.12 | λa=0.000 λb=2.057 λcore=2.057 | sparsity=606.2741 total=608.8870
[ep 11 | step 740] KL_a=1.8172 KL_b=0.6332 margin_a=2.531 margin_b=4.023 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=2.145 λcore=2.146 | sparsity=631.5070 total=634.0257
[ep 11 | step 750] KL_a=1.8633 KL_b=0.5478 margin_a=1.383 margin_b=3.062 acc_a=0.00 acc_b=0.12 | λa=0.000 λb=2.257 λcore=2.257 | sparsity=663.5465 total=665.8439
[ep 12 | step 760] KL_a=1.9088 KL_b=0.5851 margin_a=2.719 margin_b=4.773 acc_a=0.25 acc_b=0.00 | λa=0.000 λb=2.095 λcore=2.095 | sparsity=615.3969 total=618.0124
[ep 12 | step 770] KL_a=1.4167 KL_b=0.5390 margin_a=0.812 margin_b=3.977 acc_a=0.38 acc_b=0.00 | λa=0.000 λb=2.100 λcore=2.100 | sparsity=616.1445 total=618.4324
[ep 12 | step 780] KL_a=1.3755 KL_b=0.6009 margin_a=2.203 margin_b=3.297 acc_a=0.38 acc_b=0.25 | λa=0.000 λb=1.872 λcore=1.873 | sparsity=548.9546 total=551.3024
[ep 12 | step 790] KL_a=1.9530 KL_b=0.6539 margin_a=4.988 margin_b=4.016 acc_a=0.12 acc_b=0.00 | λa=0.000 λb=1.675 λcore=1.675 | sparsity=490.6243 total=493.4177
[ep 12 | step 800] KL_a=2.3654 KL_b=0.5781 margin_a=5.100 margin_b=3.875 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=1.768 λcore=1.768 | sparsity=517.3162 total=520.1590
[ep 12 | step 810] KL_a=2.3380 KL_b=0.6587 margin_a=5.023 margin_b=3.750 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=1.514 λcore=1.514 | sparsity=442.7413 total=445.5658
[ep 13 | step 820] KL_a=1.0383 KL_b=0.5938 margin_a=0.000 margin_b=4.289 acc_a=1.00 acc_b=0.12 | λa=0.000 λb=1.583 λcore=1.583 | sparsity=462.6968 total=464.8080
[ep 13 | step 830] KL_a=1.3432 KL_b=0.4757 margin_a=0.000 margin_b=4.023 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=1.752 λcore=1.752 | sparsity=511.5976 total=513.6746
[ep 13 | step 840] KL_a=1.3049 KL_b=0.7083 margin_a=1.203 margin_b=6.109 acc_a=0.25 acc_b=0.00 | λa=0.000 λb=1.170 λcore=1.170 | sparsity=341.5742 total=344.0578
[ep 13 | step 850] KL_a=3.3822 KL_b=0.5613 margin_a=4.098 margin_b=4.367 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=1.413 λcore=1.413 | sparsity=412.1246 total=415.1999
[ep 13 | step 860] KL_a=2.6549 KL_b=0.5324 margin_a=3.453 margin_b=4.586 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=1.384 λcore=1.384 | sparsity=403.4177 total=406.2629
[ep 13 | step 870] KL_a=1.8145 KL_b=0.5254 margin_a=0.328 margin_b=4.852 acc_a=0.25 acc_b=0.00 | λa=0.000 λb=1.331 λcore=1.331 | sparsity=387.9232 total=390.2003
[ep 13 | step 880] KL_a=1.5394 KL_b=0.6061 margin_a=0.094 margin_b=3.578 acc_a=0.50 acc_b=0.12 | λa=0.000 λb=1.082 λcore=1.083 | sparsity=315.4603 total=317.5254
[ep 14 | step 890] KL_a=1.9192 KL_b=0.5242 margin_a=5.121 margin_b=4.172 acc_a=0.00 acc_b=0.12 | λa=0.000 λb=1.180 λcore=1.180 | sparsity=343.8002 total=346.8042
[ep 14 | step 900] KL_a=1.4017 KL_b=0.5241 margin_a=0.133 margin_b=3.281 acc_a=0.38 acc_b=0.00 | λa=0.000 λb=1.085 λcore=1.085 | sparsity=315.8477 total=317.7985
[ep 14 | step 910] KL_a=1.4221 KL_b=0.5366 margin_a=1.078 margin_b=3.984 acc_a=0.62 acc_b=0.00 | λa=0.000 λb=0.970 λcore=0.970 | sparsity=282.4634 total=284.6763
[ep 14 | step 920] KL_a=4.1312 KL_b=0.6053 margin_a=5.492 margin_b=3.258 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=0.729 λcore=0.729 | sparsity=212.2827 total=215.8386
[ep 14 | step 930] KL_a=1.5176 KL_b=0.5840 margin_a=1.383 margin_b=3.906 acc_a=0.12 acc_b=0.00 | λa=0.000 λb=0.698 λcore=0.698 | sparsity=203.2055 total=205.4912
[ep 14 | step 940] KL_a=1.0028 KL_b=0.5821 margin_a=1.156 margin_b=3.859 acc_a=0.62 acc_b=0.00 | λa=0.000 λb=0.639 λcore=0.639 | sparsity=186.0011 total=188.1444
