loading meta-llama/Llama-3.2-3B-Instruct (prunable + frozen full) ...
heads+mlp-blocks mode: attention head gates and MLP block gates are active
Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 17403.75it/s]
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 4851.87it/s]
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Llama model successfully adapted for pruning with block-level gates.
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights:   6%|▋         | 16/254 [00:00<00:01, 159.70it/s]Loading weights:  22%|██▏       | 57/254 [00:00<00:00, 304.18it/s]Loading weights:  37%|███▋      | 95/254 [00:00<00:00, 337.37it/s]Loading weights:  54%|█████▍    | 138/254 [00:00<00:00, 372.44it/s]Loading weights:  69%|██████▉   | 176/254 [00:00<00:00, 374.11it/s]Loading weights:  85%|████████▌ | 216/254 [00:00<00:00, 380.33it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 359.56it/s]
500 example pairs total from 1 file(s):
  train_03_step_1_word.jsonl: 500
caching full-model logits ...
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

training: 100 epochs, lr=0.0025, kl=1.0, task=1.0, lambda_mult=4.0
[22:42:29] epoch 76/100 kl=0.0578 task=0.0579 sparsity=3.6730 train_acc=0.9785 gates_open=66.4% (17s) | val acc 1.0000
[22:42:55] epoch 77/100 kl=0.1089 task=0.1090 sparsity=3.6628 train_acc=0.9844 gates_open=66.1% (17s) | val acc 1.0000
[22:43:22] epoch 78/100 kl=0.0641 task=0.0642 sparsity=3.6527 train_acc=0.9785 gates_open=65.9% (17s) | val acc 1.0000
[22:43:48] epoch 79/100 kl=0.0020 task=0.0021 sparsity=3.6426 train_acc=1.0000 gates_open=65.4% (17s) | val acc 1.0000
[22:44:14] epoch 80/100 kl=0.1653 task=0.1654 sparsity=3.6323 train_acc=0.9688 gates_open=65.3% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep80.pt | gates open: 457/700 (65.3%)
[22:44:40] epoch 81/100 kl=0.0025 task=0.0026 sparsity=3.6219 train_acc=1.0000 gates_open=64.9% (17s) | val acc 1.0000
[22:45:07] epoch 82/100 kl=0.0927 task=0.0929 sparsity=3.6113 train_acc=0.9785 gates_open=64.9% (17s) | val acc 1.0000
[22:45:33] epoch 83/100 kl=0.0224 task=0.0225 sparsity=3.6005 train_acc=0.9883 gates_open=64.4% (17s) | val acc 1.0000
[22:45:59] epoch 84/100 kl=0.1703 task=0.1705 sparsity=3.5896 train_acc=0.9727 gates_open=64.3% (17s) | val acc 1.0000
[22:46:25] epoch 85/100 kl=0.0813 task=0.0814 sparsity=3.5786 train_acc=0.9766 gates_open=64.1% (17s) | val acc 1.0000
[22:46:52] epoch 86/100 kl=0.2388 task=0.2390 sparsity=3.5678 train_acc=0.9238 gates_open=64.0% (17s) | val acc 1.0000
[22:47:18] epoch 87/100 kl=0.2499 task=0.2501 sparsity=3.5567 train_acc=0.9492 gates_open=64.0% (17s) | val acc 1.0000
[22:47:44] epoch 88/100 kl=0.0160 task=0.0161 sparsity=3.5460 train_acc=0.9902 gates_open=63.9% (17s) | val acc 1.0000
[22:48:10] epoch 89/100 kl=0.1592 task=0.1594 sparsity=3.5343 train_acc=0.9551 gates_open=63.6% (17s) | val acc 1.0000
[22:48:37] epoch 90/100 kl=0.0268 task=0.0270 sparsity=3.5226 train_acc=0.9883 gates_open=63.3% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep90.pt | gates open: 443/700 (63.3%)
[22:49:03] epoch 91/100 kl=0.0247 task=0.0248 sparsity=3.5105 train_acc=0.9883 gates_open=62.9% (17s) | val acc 1.0000
[22:49:29] epoch 92/100 kl=0.1010 task=0.1011 sparsity=3.4983 train_acc=0.9824 gates_open=62.1% (17s) | val acc 1.0000
[22:49:55] epoch 93/100 kl=0.0836 task=0.0837 sparsity=3.4864 train_acc=0.9746 gates_open=62.0% (17s) | val acc 1.0000
[22:50:21] epoch 94/100 kl=0.1451 task=0.1452 sparsity=3.4746 train_acc=0.9785 gates_open=61.7% (17s) | val acc 1.0000
[22:50:48] epoch 95/100 kl=0.1303 task=0.1305 sparsity=3.4631 train_acc=0.9629 gates_open=61.4% (17s) | val acc 1.0000
[22:51:14] epoch 96/100 kl=0.2231 task=0.2232 sparsity=3.4524 train_acc=0.9531 gates_open=61.1% (17s) | val acc 1.0000
[22:51:40] epoch 97/100 kl=0.1210 task=0.1211 sparsity=3.4414 train_acc=0.9688 gates_open=61.0% (17s) | val acc 1.0000
[22:52:06] epoch 98/100 kl=0.1241 task=0.1242 sparsity=3.4303 train_acc=0.9766 gates_open=61.0% (17s) | val acc 1.0000
[22:52:32] epoch 99/100 kl=0.3069 task=0.3070 sparsity=3.4190 train_acc=0.9531 gates_open=60.6% (17s) | val acc 1.0000
[22:52:59] epoch 100/100 kl=0.0959 task=0.0960 sparsity=3.4082 train_acc=0.9785 gates_open=60.1% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep100.pt | gates open: 421/700 (60.1%)
saved masks/sections/sec_03_step_1_word.pt | gates open: 421/700 (60.1%)
