loading meta-llama/Llama-3.2-3B-Instruct (prunable + frozen full) ...
fine mode: heads, attn neurons, MLP neurons + MLP blocks active (no attn blocks, no full layers)
Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 43690.67it/s]
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 4821.98it/s]
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Llama model successfully adapted for pruning with block-level gates.
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights:   3%|▎         | 8/254 [00:00<00:03, 79.43it/s]Loading weights:  19%|█▉        | 48/254 [00:00<00:00, 264.66it/s]Loading weights:  34%|███▍      | 86/254 [00:00<00:00, 312.83it/s]Loading weights:  51%|█████     | 129/254 [00:00<00:00, 352.64it/s]Loading weights:  66%|██████▌   | 167/254 [00:00<00:00, 360.48it/s]Loading weights:  81%|████████▏ | 207/254 [00:00<00:00, 372.17it/s]Loading weights:  96%|█████████▋| 245/254 [00:00<00:00, 373.85it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 344.16it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
loaded masks/sections/sec_03_step_1_word.pt | locked 632 closed gates (log_alpha=-1000000.0, grad=0, reopen-proof) | 84 gate groups not in checkpoint (fresh, open, trainable)
locked 359296 neuron gates under already-closed parents (invisible to the network)
500 example pairs total from 1 file(s):
  train_03_step_1_word.jsonl: 500

training: 500 epochs, lr=0.03, kl=1.5 (span KL), task=1.0 (margin), lambda_mult=1.0
[06:23:07] epoch 56/500 kl=0.0075 task=0.0823 sparsity=4.6049 train_acc=1.0000 gates_open=1.4% (24s) | val acc 1.0000
[06:23:40] epoch 57/500 kl=0.0032 task=0.0212 sparsity=4.5670 train_acc=1.0000 gates_open=1.4% (24s) | val acc 1.0000
[06:24:14] epoch 58/500 kl=0.0031 task=0.0200 sparsity=4.5287 train_acc=1.0000 gates_open=1.3% (24s) | val acc 1.0000
[06:24:48] epoch 59/500 kl=0.0014 task=0.0024 sparsity=4.4920 train_acc=1.0000 gates_open=1.3% (24s) | val acc 1.0000
[06:25:22] epoch 60/500 kl=0.0083 task=0.0769 sparsity=4.4569 train_acc=1.0000 gates_open=1.3% (24s) | val acc 1.0000
[06:25:56] epoch 61/500 kl=0.0091 task=0.0947 sparsity=4.4278 train_acc=0.9980 gates_open=1.2% (24s) | val acc 1.0000
[06:26:30] epoch 62/500 kl=0.0042 task=0.0464 sparsity=4.4030 train_acc=1.0000 gates_open=1.2% (24s) | val acc 1.0000
[06:27:04] epoch 63/500 kl=0.0015 task=0.0012 sparsity=4.3756 train_acc=1.0000 gates_open=1.2% (24s) | val acc 1.0000
[06:27:38] epoch 64/500 kl=0.0196 task=0.1011 sparsity=4.3508 train_acc=0.9902 gates_open=1.2% (24s) | val acc 1.0000
[06:28:12] epoch 65/500 kl=0.0027 task=0.0195 sparsity=4.3304 train_acc=1.0000 gates_open=1.2% (24s) | val acc 1.0000
[06:28:46] epoch 66/500 kl=0.0024 task=0.0098 sparsity=4.3092 train_acc=1.0000 gates_open=1.2% (24s) | val acc 1.0000
[06:29:19] epoch 67/500 kl=0.0019 task=0.0085 sparsity=4.2882 train_acc=1.0000 gates_open=1.1% (24s) | val acc 1.0000
[06:29:53] epoch 68/500 kl=0.0023 task=0.0122 sparsity=4.2691 train_acc=1.0000 gates_open=1.1% (24s) | val acc 1.0000
[06:30:27] epoch 69/500 kl=0.0012 task=0.0000 sparsity=4.2510 train_acc=1.0000 gates_open=1.1% (24s) | val acc 1.0000
[06:31:01] epoch 70/500 kl=0.0032 task=0.0227 sparsity=4.2332 train_acc=1.0000 gates_open=1.1% (24s) | val acc 1.0000
[06:31:35] epoch 71/500 kl=0.0024 task=0.0164 sparsity=4.2156 train_acc=1.0000 gates_open=1.1% (24s) | val acc 1.0000
[06:32:09] epoch 72/500 kl=0.0023 task=0.0076 sparsity=4.2001 train_acc=1.0000 gates_open=1.1% (24s) | val acc 1.0000
[06:32:43] epoch 73/500 kl=0.0015 task=0.0010 sparsity=4.1860 train_acc=1.0000 gates_open=1.1% (24s) | val acc 1.0000
[06:33:17] epoch 74/500 kl=0.0021 task=0.0002 sparsity=4.1707 train_acc=1.0000 gates_open=1.1% (24s) | val acc 1.0000
[06:33:51] epoch 75/500 kl=0.0024 task=0.0107 sparsity=4.1554 train_acc=1.0000 gates_open=1.0% (24s) | val acc 1.0000
saved masks/sections/sec_03_fine.ep75.pt | gates open: 4190/402108 (1.0%)
[06:34:25] epoch 76/500 kl=0.0146 task=0.0908 sparsity=4.1442 train_acc=0.9961 gates_open=1.0% (24s) | val acc 1.0000
[06:34:59] epoch 77/500 kl=0.0032 task=0.0273 sparsity=4.1348 train_acc=1.0000 gates_open=1.0% (24s) | val acc 1.0000
[06:35:32] epoch 78/500 kl=0.0581 task=0.1921 sparsity=4.1235 train_acc=0.9844 gates_open=1.0% (24s) | val acc 1.0000
[06:36:06] epoch 79/500 kl=0.0017 task=0.0017 sparsity=4.1153 train_acc=1.0000 gates_open=1.0% (24s) | val acc 1.0000
[06:36:40] epoch 80/500 kl=0.1320 task=0.3123 sparsity=4.1043 train_acc=0.9688 gates_open=1.0% (24s) | val acc 1.0000
[06:37:14] epoch 81/500 kl=0.0020 task=0.0068 sparsity=4.0958 train_acc=1.0000 gates_open=1.0% (24s) | val acc 1.0000
[06:37:48] epoch 82/500 kl=0.0103 task=0.0796 sparsity=4.0878 train_acc=0.9980 gates_open=1.0% (24s) | val acc 1.0000
