loading meta-llama/Llama-3.2-3B-Instruct (prunable + frozen full) ...
heads+mlp-blocks mode: attention head gates and MLP block gates are active
Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 11110.74it/s]
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 3407.00it/s]
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Llama model successfully adapted for pruning with block-level gates.
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights:   6%|▋         | 16/254 [00:00<00:01, 158.85it/s]Loading weights:  20%|██        | 52/254 [00:00<00:00, 275.84it/s]Loading weights:  34%|███▍      | 87/254 [00:00<00:00, 309.47it/s]Loading weights:  49%|████▉     | 124/254 [00:00<00:00, 333.30it/s]Loading weights:  63%|██████▎   | 161/254 [00:00<00:00, 343.27it/s]Loading weights:  78%|███████▊  | 197/254 [00:00<00:00, 345.73it/s]Loading weights:  91%|█████████▏| 232/254 [00:00<00:00, 339.64it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 328.32it/s]
resumed log_alpha from masks/sections/sec_03_step_1_word.pt | 279 gates currently closed (still trainable, no locking)
500 example pairs total from 1 file(s):
  train_03_step_1_word.jsonl: 500
caching full-model logits ...
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

training: 150 epochs, lr=0.0025, kl=1.0, task=1.0, lambda_mult=4.0
[23:42:13] epoch 108/150 kl=0.0044 task=0.0043 sparsity=2.1541 train_acc=1.0000 gates_open=36.6% (17s) | val acc 1.0000
[23:42:39] epoch 109/150 kl=0.0016 task=0.0015 sparsity=2.1460 train_acc=1.0000 gates_open=36.6% (17s) | val acc 1.0000
[23:43:05] epoch 110/150 kl=0.1607 task=0.1607 sparsity=2.1378 train_acc=0.9648 gates_open=36.6% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep110.pt | gates open: 256/700 (36.6%)
[23:43:31] epoch 111/150 kl=0.0658 task=0.0658 sparsity=2.1295 train_acc=0.9863 gates_open=36.3% (17s) | val acc 1.0000
[23:43:57] epoch 112/150 kl=0.0148 task=0.0147 sparsity=2.1217 train_acc=0.9922 gates_open=36.1% (17s) | val acc 1.0000
[23:44:24] epoch 113/150 kl=0.0694 task=0.0693 sparsity=2.1144 train_acc=0.9785 gates_open=35.7% (17s) | val acc 1.0000
[23:44:50] epoch 114/150 kl=0.0011 task=0.0009 sparsity=2.1069 train_acc=1.0000 gates_open=35.6% (17s) | val acc 1.0000
[23:45:16] epoch 115/150 kl=0.0011 task=0.0010 sparsity=2.0992 train_acc=1.0000 gates_open=35.4% (17s) | val acc 1.0000
[23:45:42] epoch 116/150 kl=0.0068 task=0.0067 sparsity=2.0915 train_acc=0.9980 gates_open=35.4% (17s) | val acc 1.0000
[23:46:08] epoch 117/150 kl=0.0006 task=0.0004 sparsity=2.0839 train_acc=1.0000 gates_open=35.3% (17s) | val acc 1.0000
[23:46:34] epoch 118/150 kl=0.0008 task=0.0007 sparsity=2.0762 train_acc=1.0000 gates_open=35.3% (17s) | val acc 1.0000
[23:47:01] epoch 119/150 kl=0.0018 task=0.0016 sparsity=2.0685 train_acc=1.0000 gates_open=35.3% (17s) | val acc 1.0000
[23:47:27] epoch 120/150 kl=0.0494 task=0.0493 sparsity=2.0608 train_acc=0.9883 gates_open=34.9% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep120.pt | gates open: 244/700 (34.9%)
[23:47:53] epoch 121/150 kl=0.0420 task=0.0419 sparsity=2.0531 train_acc=0.9863 gates_open=34.9% (17s) | val acc 1.0000
[23:48:19] epoch 122/150 kl=0.0323 task=0.0322 sparsity=2.0453 train_acc=0.9922 gates_open=34.4% (17s) | val acc 1.0000
[23:48:45] epoch 123/150 kl=0.0153 task=0.0151 sparsity=2.0378 train_acc=0.9961 gates_open=34.3% (17s) | val acc 1.0000
[23:49:11] epoch 124/150 kl=0.3245 task=0.3244 sparsity=2.0302 train_acc=0.9414 gates_open=34.1% (17s) | val acc 1.0000
[23:49:38] epoch 125/150 kl=0.0234 task=0.0232 sparsity=2.0224 train_acc=0.9902 gates_open=33.9% (17s) | val acc 1.0000
[23:50:04] epoch 126/150 kl=0.0874 task=0.0873 sparsity=2.0148 train_acc=0.9863 gates_open=33.7% (17s) | val acc 1.0000
[23:50:30] epoch 127/150 kl=0.0066 task=0.0065 sparsity=2.0069 train_acc=0.9961 gates_open=33.6% (17s) | val acc 1.0000
[23:50:56] epoch 128/150 kl=0.0047 task=0.0045 sparsity=1.9990 train_acc=1.0000 gates_open=33.6% (17s) | val acc 1.0000
[23:51:22] epoch 129/150 kl=0.0480 task=0.0480 sparsity=1.9913 train_acc=0.9824 gates_open=33.3% (17s) | val acc 1.0000
[23:51:48] epoch 130/150 kl=0.1039 task=0.1037 sparsity=1.9834 train_acc=0.9688 gates_open=32.7% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep130.pt | gates open: 229/700 (32.7%)
[23:52:15] epoch 131/150 kl=0.0153 task=0.0152 sparsity=1.9754 train_acc=0.9922 gates_open=32.1% (17s) | val acc 1.0000
[23:52:41] epoch 132/150 kl=0.1658 task=0.1656 sparsity=1.9674 train_acc=0.9688 gates_open=32.0% (17s) | val acc 1.0000
[23:53:07] epoch 133/150 kl=0.0024 task=0.0022 sparsity=1.9592 train_acc=1.0000 gates_open=31.9% (17s) | val acc 1.0000
[23:53:33] epoch 134/150 kl=0.0061 task=0.0059 sparsity=1.9514 train_acc=0.9961 gates_open=31.6% (17s) | val acc 1.0000
[23:53:59] epoch 135/150 kl=0.0625 task=0.0623 sparsity=1.9437 train_acc=0.9746 gates_open=31.4% (17s) | val acc 1.0000
[23:54:25] epoch 136/150 kl=0.0031 task=0.0030 sparsity=1.9365 train_acc=1.0000 gates_open=31.1% (17s) | val acc 1.0000
[23:54:51] epoch 137/150 kl=0.0333 task=0.0331 sparsity=1.9293 train_acc=0.9844 gates_open=31.0% (17s) | val acc 1.0000
[23:55:18] epoch 138/150 kl=0.0029 task=0.0027 sparsity=1.9222 train_acc=0.9980 gates_open=31.0% (17s) | val acc 1.0000
[23:55:44] epoch 139/150 kl=0.1955 task=0.1953 sparsity=1.9153 train_acc=0.9668 gates_open=30.7% (17s) | val acc 1.0000
[23:56:10] epoch 140/150 kl=0.0052 task=0.0049 sparsity=1.9088 train_acc=0.9961 gates_open=30.3% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep140.pt | gates open: 212/700 (30.3%)
[23:56:37] epoch 141/150 kl=0.0007 task=0.0005 sparsity=1.9026 train_acc=1.0000 gates_open=30.1% (17s) | val acc 1.0000
[23:57:03] epoch 142/150 kl=0.0722 task=0.0720 sparsity=1.8965 train_acc=0.9805 gates_open=30.1% (17s) | val acc 1.0000
