loading meta-llama/Llama-3.2-3B-Instruct (prunable + frozen full) ...
heads+mlp-blocks mode: attention head gates and MLP block gates are active
Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 45100.04it/s]
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 4978.94it/s]
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Llama model successfully adapted for pruning with block-level gates.
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights:   7%|▋         | 19/254 [00:00<00:01, 189.92it/s]Loading weights:  23%|██▎       | 58/254 [00:00<00:00, 307.54it/s]Loading weights:  39%|███▉      | 100/254 [00:00<00:00, 357.49it/s]Loading weights:  55%|█████▌    | 140/254 [00:00<00:00, 368.40it/s]Loading weights:  72%|███████▏  | 183/254 [00:00<00:00, 385.47it/s]Loading weights:  87%|████████▋ | 222/254 [00:00<00:00, 376.53it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 364.53it/s]
resumed log_alpha from masks/sections/sec_03_step_1_word.pt | 496 gates currently closed (still trainable, no locking)
500 example pairs total from 1 file(s):
  train_03_step_1_word.jsonl: 500
caching full-model logits ...
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

training: 200 epochs, lr=0.0025, kl=1.0, task=1.0, lambda_mult=4.0
[00:44:44] epoch 53/200 kl=0.0012 task=0.0010 sparsity=1.5940 train_acc=1.0000 gates_open=22.9% (17s) | val acc 1.0000
[00:45:10] epoch 54/200 kl=0.0019 task=0.0016 sparsity=1.5906 train_acc=1.0000 gates_open=22.9% (17s) | val acc 1.0000
[00:45:36] epoch 55/200 kl=0.0010 task=0.0007 sparsity=1.5873 train_acc=1.0000 gates_open=22.9% (17s) | val acc 1.0000
[00:46:03] epoch 56/200 kl=0.0088 task=0.0087 sparsity=1.5840 train_acc=1.0000 gates_open=22.9% (17s) | val acc 1.0000
[00:46:29] epoch 57/200 kl=0.2242 task=0.2239 sparsity=1.5809 train_acc=0.9629 gates_open=22.9% (17s) | val acc 1.0000
[00:46:55] epoch 58/200 kl=0.0009 task=0.0006 sparsity=1.5779 train_acc=1.0000 gates_open=22.9% (17s) | val acc 1.0000
[00:47:21] epoch 59/200 kl=0.0095 task=0.0093 sparsity=1.5749 train_acc=0.9941 gates_open=22.7% (17s) | val acc 1.0000
[00:47:47] epoch 60/200 kl=0.0013 task=0.0010 sparsity=1.5719 train_acc=1.0000 gates_open=22.7% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep60.pt | gates open: 159/700 (22.7%)
[00:48:13] epoch 61/200 kl=0.0008 task=0.0005 sparsity=1.5690 train_acc=1.0000 gates_open=22.7% (17s) | val acc 1.0000
[00:48:40] epoch 62/200 kl=0.0015 task=0.0012 sparsity=1.5660 train_acc=1.0000 gates_open=22.7% (17s) | val acc 1.0000
[00:49:06] epoch 63/200 kl=0.0015 task=0.0012 sparsity=1.5631 train_acc=1.0000 gates_open=22.7% (17s) | val acc 1.0000
[00:49:32] epoch 64/200 kl=0.0043 task=0.0041 sparsity=1.5602 train_acc=1.0000 gates_open=22.7% (17s) | val acc 1.0000
[00:49:58] epoch 65/200 kl=0.0172 task=0.0169 sparsity=1.5572 train_acc=0.9902 gates_open=22.4% (17s) | val acc 1.0000
[00:50:24] epoch 66/200 kl=0.0068 task=0.0065 sparsity=1.5544 train_acc=0.9980 gates_open=22.4% (17s) | val acc 1.0000
[00:50:51] epoch 67/200 kl=0.0014 task=0.0011 sparsity=1.5515 train_acc=1.0000 gates_open=22.1% (17s) | val acc 1.0000
[00:51:17] epoch 68/200 kl=0.0138 task=0.0135 sparsity=1.5485 train_acc=0.9941 gates_open=22.1% (17s) | val acc 1.0000
[00:51:43] epoch 69/200 kl=0.0307 task=0.0304 sparsity=1.5454 train_acc=0.9883 gates_open=22.0% (17s) | val acc 1.0000
[00:52:09] epoch 70/200 kl=0.0345 task=0.0343 sparsity=1.5423 train_acc=0.9902 gates_open=22.0% (17s) | val acc 1.0000
[00:52:35] epoch 71/200 kl=0.0154 task=0.0151 sparsity=1.5395 train_acc=0.9941 gates_open=21.9% (17s) | val acc 1.0000
[00:53:01] epoch 72/200 kl=0.0009 task=0.0007 sparsity=1.5362 train_acc=1.0000 gates_open=21.9% (17s) | val acc 1.0000
