model,model_short,task,lambda_sparsity,seed,num_epochs,learning_rate,batch_size,training_time_seconds,baseline_accuracy,baseline_logit_diff,final_accuracy,final_logit_diff,final_kl_div,final_exact_match,accuracy_drop,final_train_loss,final_train_kl,final_train_sparsity,final_train_task_loss,compression_ratio,reduction_percentage,active_prunable_params,total_prunable_params,effective_compression,pruned_pct_embedding,active_embedding,total_embedding,pruned_pct_layer_level,active_layer_level,total_layer_level,pruned_pct_attention_blocks,active_attention_blocks,total_attention_blocks,pruned_pct_mlp_blocks,active_mlp_blocks,total_mlp_blocks,pruned_pct_attention_heads,active_attention_heads,total_attention_heads,pruned_pct_attention_neurons,active_attention_neurons,total_attention_neurons,pruned_pct_mlp_hidden,active_mlp_hidden,total_mlp_hidden,pruned_pct_mlp_output,active_mlp_output,total_mlp_output,sparsity_attention_blocks,sparsity_mlp_blocks,sparsity_attention_heads,sparsity_attention_neurons,sparsity_mlp_hidden,sparsity_mlp_output,sparsity_total_sparsity
meta-llama/Llama-3.1-8B,Llama-3.1-8B,ioi,0.85,42,500,0.01,32,1136.8140816688538,1.0,5.808390625,0.13,-3.6136875,1.757550537109375,0.256,0.87,29.491378784179688,0.6787943499428886,33.9944703238351,3.2950613839285716,19.208670947403732,94.79401774991018,363342257,6979321856,5.675591952349426,100.0,0,1,0.0,32,32,84.375,5,32,50.0,16,32,97.265625,28,1024,97.52731323242188,3241,131072,88.63961356026786,52116,458752,79.31747436523438,27109,131072,5.039944171905518,16.014745712280273,1.0437239408493042,0.9644851684570312,4.009270191192627,6.914714336395264,33.98686981201172
meta-llama/Llama-3.1-8B,Llama-3.1-8B,ioi,0.88,42,500,0.01,32,1134.597076177597,1.0,5.808390625,0.018,-5.897984375,2.32918115234375,0.224,0.982,27.18479401724679,1.3142401490892683,29.752001898629324,7.044363839285714,23.80581095320784,95.79934494999739,293177236,6979321856,5.971707802214709,100.0,0,1,0.0,32,32,87.5,4,32,53.125,15,32,98.14453125,19,1024,98.28414916992188,2249,131072,90.39677211216518,44055,458752,82.00149536132812,23591,131072,4.038934707641602,15.010964393615723,0.6796201467514038,0.690541684627533,3.3545939922332764,5.971940040588379,29.746597290039062
meta-llama/Llama-3.1-8B,Llama-3.1-8B,ioi,0.9,42,500,0.01,32,1133.6565606594086,1.0,5.808390625,0.0,-8.899234375,3.08347607421875,0.178,1.0,5.74417393548148,2.5781942435673306,4.696830068315778,12.592075892857142,419.7423058661078,99.7617585871082,16627635,6979321856,7.517612883130181,100.0,0,1,0.0,32,32,100.0,0,32,96.875,1,32,100.0,0,1024,100.0,0,131072,99.23793247767857,3496,458752,99.49722290039062,659,131072,0.12968634068965912,1.0927587747573853,0.4675096273422241,0.5007402300834656,1.1491055488586426,1.3381496667861938,4.677949905395508
meta-llama/Llama-3.1-8B,Llama-3.1-8B,ioi,0.93,42,500,0.01,32,1132.6114797592163,1.0,5.808390625,0.0,-8.899234375,3.08347607421875,0.178,1.0,2.000997304916382,2.5781942435673306,1.0097616570336478,12.592075892857142,inf,100.0,0,6979321856,7.6364725521687316,100.0,0,1,0.0,32,32,100.0,0,32,100.0,0,32,100.0,0,1024,100.0,0,131072,100.0,0,458752,100.0,0,131072,0.05157938972115517,0.0731486901640892,0.13973084092140198,0.1520841121673584,0.35279732942581177,0.2372184693813324,1.0065592527389526
meta-llama/Llama-3.1-8B,Llama-3.1-8B,ioi,0.95,42,500,0.01,32,1132.6546792984009,1.0,5.808390625,0.0,-8.899234375,3.08347607421875,0.178,1.0,1.2387491634913854,2.5781942435673306,0.5055112412997654,12.592075892857142,inf,100.0,0,6979321856,7.6364725521687316,100.0,0,1,0.0,32,32,100.0,0,32,100.0,0,32,100.0,0,1024,100.0,0,131072,100.0,0,458752,100.0,0,131072,0.044496800750494,0.058644071221351624,0.04334566742181778,0.0680011659860611,0.18859051167964935,0.10085708647966385,0.5039352178573608
meta-llama/Llama-3.1-8B,Llama-3.1-8B,gp,0.7,42,500,0.01,32,840.9655909538269,1.0,4.457342791411043,0.9662576687116564,5.781345858895706,0.6473391480241085,0.8834355828220859,0.033742331288343586,18.65581512451172,0.9912757635116577,26.173346328735352,0.1236328125,19.051865327316328,94.75117011998708,366332731,6979321856,5.6636224314012615,100.0,0,1,0.0,32,32,81.25,6,32,75.0,8,32,97.4609375,26,1024,98.47946166992188,1993,131072,88.71547154017857,51768,458752,87.43820190429688,16465,131072,6.0410051345825195,8.032735824584961,1.0709707736968994,0.9393393993377686,5.008855819702148,5.058891773223877,26.15180206298828
meta-llama/Llama-3.1-8B,Llama-3.1-8B,gp,0.73,42,500,0.01,32,840.9197998046875,1.0,4.457342791411043,0.8865030674846626,3.947277607361963,0.6393861361076495,0.7944785276073619,0.11349693251533743,17.380141067504884,0.9610172033309936,23.337799072265625,0.3113813936710358,21.492367837510237,95.3471855332072,324734897,6979321856,5.83479001617436,100.0,0,1,0.0,32,32,84.375,5,32,78.125,7,32,97.75390625,23,1024,98.68392944335938,1725,131072,89.837646484375,46620,458752,88.81072998046875,14666,131072,5.160540580749512,7.113096714019775,1.0341076850891113,0.8573914170265198,4.492922782897949,4.659002780914307,23.317052841186523
meta-llama/Llama-3.1-8B,Llama-3.1-8B,gp,0.75,42,500,0.01,32,840.5555558204651,1.0,4.457342791411043,0.8987730061349694,3.9853335889570554,0.6400240096577837,0.7975460122699386,0.10122699386503065,17.203647232055665,1.0412188172340393,22.508494186401368,0.2478870742022991,23.3063286784403,95.70931992851771,299460372,6979321856,5.943937505178845,100.0,0,1,0.0,32,32,84.375,5,32,78.125,7,32,97.8515625,22,1024,98.71978759765625,1678,131072,90.55219377790179,43342,458752,89.21432495117188,14137,131072,5.068660736083984,7.095301151275635,1.0207573175430298,0.7933562397956848,4.10134220123291,4.412384033203125,22.491792678833008
meta-llama/Llama-3.1-8B,Llama-3.1-8B,gp,0.78,42,500,0.01,32,840.6070981025696,1.0,4.457342791411043,0.843558282208589,2.0359470858895707,0.8087289260208972,0.6840490797546013,0.15644171779141103,16.203690338134766,1.095170521736145,20.195912551879882,0.9542791247367859,27.63520898720331,96.3814277631732,252551803,6979321856,6.157722802768887,100.0,0,1,0.0,32,32,84.375,5,32,81.25,6,32,98.14453125,19,1024,98.89450073242188,1449,131072,91.85812813895089,37351,458752,90.81878662109375,12034,131072,5.055543899536133,6.131916046142578,0.8558511137962341,0.7029579281806946,3.5060231685638428,3.9274911880493164,20.179777145385742
meta-llama/Llama-3.1-8B,Llama-3.1-8B,gp,0.8,42,500,0.01,32,840.8104612827301,1.0,4.457342791411043,0.7699386503067485,2.259010736196319,0.801887933461944,0.6717791411042945,0.23006134969325154,16.207050704956053,1.0158246278762817,19.733092498779296,1.0870561122894287,33.42638227904693,97.0083510933014,208796806,6979321856,6.371479313385107,100.0,0,1,0.0,32,32,87.5,4,32,78.125,7,32,98.33984375,17,1024,99.02801513671875,1274,131072,93.36264474051339,30449,458752,90.61355590820312,12303,131072,4.083498001098633,7.134566783905029,0.8365979194641113,0.6492319703102112,3.23632550239563,3.777623414993286,19.717844009399414
