task,lambda_sparsity,seed,num_epochs,learning_rate,batch_size,training_time_seconds,baseline_accuracy,baseline_logit_diff,final_accuracy,final_logit_diff,final_kl_div,final_exact_match,accuracy_drop,metric_name,final_train_loss,final_train_kl,final_train_sparsity,final_train_task_loss,compression_ratio,reduction_percentage,active_prunable_params,total_prunable_params,effective_compression,pruned_pct_embedding,active_embedding,total_embedding,pruned_pct_layer_level,active_layer_level,total_layer_level,pruned_pct_attention_blocks,active_attention_blocks,total_attention_blocks,pruned_pct_mlp_blocks,active_mlp_blocks,total_mlp_blocks,pruned_pct_attention_heads,active_attention_heads,total_attention_heads,pruned_pct_attention_neurons,active_attention_neurons,total_attention_neurons,pruned_pct_mlp_hidden,active_mlp_hidden,total_mlp_hidden,pruned_pct_mlp_output,active_mlp_output,total_mlp_output,sparsity_attention_blocks,sparsity_mlp_blocks,sparsity_attention_heads,sparsity_attention_neurons,sparsity_mlp_hidden,sparsity_mlp_output,sparsity_total_sparsity
gp,0.875,42,500,0.3,64,155.598735332489,1.0,3.523095703125,0.9807692307692307,4.117582673292894,0.24686810781892676,0.8576923076923076,0.019230769230769273,accuracy,0.3642997940381368,0.1173029492298762,0.3971928159395854,0.016745783543835085,13.811807430481288,92.75981796710329,6155429,85017600,2.728179053004111,0.0,1,1,0.0,12,12,8.333333333333332,11,12,58.333333333333336,5,12,72.91666666666666,39,144,87.53255208333334,1149,9216,93.48415798611111,2402,36864,85.98090277777779,1292,9216,10.983165740966797,9.990629196166992,3.258359670639038,1.5733298063278198,0.9818853139877319,1.8045897483825684,0.3971104323863983
gp,0.9,42,500,0.3,64,155.54923796653748,1.0,3.523095703125,0.9730769230769231,4.12046935741718,0.24956125575834168,0.8730769230769231,0.02692307692307694,accuracy,0.3692999283472697,0.11448328197002411,0.3965880374113719,0.009223813191056252,15.774435897707075,93.6606290932701,5389581,85017600,2.7747468788707237,0.0,1,1,0.0,12,12,16.666666666666664,10,12,50.0,6,12,79.86111111111111,29,144,89.99565972222221,922,9216,93.49500868055556,2398,36864,84.83072916666666,1398,9216,9.99358081817627,11.980575561523438,2.4419379234313965,1.2759181261062622,0.9321552515029907,1.9056041240692139,0.39624691009521484
gp,0.925,42,500,0.3,64,155.6407926082611,1.0,3.523095703125,0.9615384615384616,3.6868079112126275,0.29739277542819487,0.85,0.038461538461538436,accuracy,0.3358411391576131,0.15830035010973612,0.34887950619061786,0.016734118495757382,16.896316252640247,94.08155017314061,5031724,85017600,2.797055934053656,0.0,1,1,0.0,12,12,25.0,9,12,58.333333333333336,5,12,81.25,27,144,90.41883680555556,883,9216,94.19487847222221,2140,36864,86.14366319444444,1277,9216,8.998631477355957,10.004838943481445,2.3313305377960205,1.2344340085983276,0.8139846920967102,1.730031967163086,0.348795086145401
gp,0.95,42,500,0.3,64,155.65645718574524,1.0,3.523095703125,0.9307692307692308,2.494810940669133,0.3263294923513268,0.8076923076923077,0.0692307692307692,accuracy,0.31307170788447064,0.19452792406082153,0.3165638744831085,0.05219278112053871,18.271346830985916,94.52694971394159,4653056,85017600,2.821056343755391,0.0,1,1,0.0,12,12,25.0,9,12,66.66666666666666,4,12,81.94444444444444,26,144,91.05902777777779,824,9216,94.77267795138889,1927,36864,88.23784722222221,1084,9216,8.98965835571289,8.008416175842285,2.4225857257843018,1.2033566236495972,0.7085992097854614,1.4589223861694336,0.316549152135849
gp,0.975,42,500,0.3,64,155.53468418121338,1.0,3.523095703125,0.95,3.1685347923865685,0.35491971574867,0.8115384615384615,0.050000000000000044,accuracy,0.28329795598983765,0.28620879848798114,0.28176995118459064,0.056681302608922124,25.329460615032872,96.05202805066246,3356471,85017600,2.90644942035027,0.0,1,1,0.0,12,12,33.33333333333333,8,12,66.66666666666666,4,12,85.41666666666666,21,144,93.00130208333334,645,9216,96.54676649305556,1273,36864,89.97395833333334,924,9216,7.996230125427246,8.002602577209473,1.7530266046524048,0.857134222984314,0.4548007845878601,1.2221709489822388,0.28174954652786255
gp,1.0,42,500,0.3,64,155.66560101509094,1.0,3.523095703125,0.08846153846153847,-2.6642724697406477,1.9560498698901099,0.06923076923076923,0.9115384615384615,accuracy,0.00010547524774059032,1.6708625157674153,0.00010547524774059032,3.2354202270507812,inf,100.0,0,85017600,3.1535615840376408,0.0,1,1,0.0,12,12,100.0,0,12,100.0,0,12,100.0,0,144,100.0,0,9216,100.0,0,36864,100.0,0,9216,0.0003313781344331801,0.0006755336653441191,0.00037140637869015336,0.0013368033105507493,0.0035378376487642527,0.0013372641988098621,0.00010541977098910138
gt,0.7,42,250,0.05,16,148.07441067695618,1.0,0.048040480890470603,1.0,0.049216500227217026,0.03735938352140549,0.0,0.0,prob_diff,0.21786172344134405,0.05755021652350059,0.2865666586619157,0.0,10.136380008376879,90.13454508243,8387373,85017600,2.600964240168076,0.0,1,1,0.0,12,12,50.0,6,12,41.66666666666667,7,12,66.66666666666666,48,144,90.32118055555556,892,9216,86.93033854166666,4818,36864,71.34331597222221,2641,9216,5.997403144836426,7.003911018371582,0.0,1.3039697408676147,2.295840263366699,4.020572185516357,0.28641241788864136
gt,0.725,42,250,0.05,16,147.91090965270996,1.0,0.050188841236682616,0.9947478991596639,0.05285988962549243,0.03391641075527217,0.0,0.005252100840336116,prob_diff,0.22391040508563703,0.047394588159827084,0.29086466706716096,0.0,10.321784837766026,90.31175309582957,8236715,85017600,2.6091767749384105,0.0,1,1,0.0,12,12,50.0,6,12,33.33333333333333,8,12,66.66666666666666,48,144,90.625,864,9216,86.70247395833334,4902,36864,71.12630208333334,2661,9216,5.981233596801758,7.946353912353516,0.0,1.243208646774292,2.032078742980957,3.7260570526123047,0.29067960381507874
gt,0.75,42,250,0.05,16,137.9281690120697,1.0,0.04791902299667535,0.997874601487779,0.05234458630123731,0.03598194312443808,0.0,0.002125398512221044,prob_diff,0.2067215802768866,0.052079231633494295,0.2582690293590228,0.0,11.277013966144393,91.1324043492171,7539017,85017600,2.6478953112182078,0.0,1,1,0.0,12,12,58.333333333333336,5,12,41.66666666666667,7,12,72.22222222222221,40,144,91.62326388888889,772,9216,87.93674045138889,4447,36864,72.42838541666666,2541,9216,5.001704216003418,6.99115514755249,0.0,1.127236008644104,1.90312659740448,3.562357187271118,0.25813308358192444
gt,0.775,42,250,0.05,16,137.90390038490295,1.0,0.04604871660116871,1.0,0.05038787083970804,0.036119959342344805,0.0,0.0,prob_diff,0.20703221236666045,0.0413076380888621,0.25514580806096393,0.0,12.02658655128815,91.6850887345679,7069138,85017600,2.674625185385955,0.0,1,1,0.0,12,12,58.333333333333336,5,12,41.66666666666667,7,12,72.91666666666666,39,144,91.91623263888889,745,9216,88.72884114583334,4155,36864,73.70876736111111,2423,9216,4.999837875366211,6.993364334106445,0.0,1.0727777481079102,1.8056942224502563,3.4878482818603516,0.25499337911605835
gt,0.8,42,250,0.05,16,137.46559023857117,1.0,0.04944263798011421,0.9915611814345991,0.05268813079768703,0.03745656420441368,0.0,0.008438818565400852,prob_diff,0.1951180063188076,0.0522422754826645,0.23083693658312163,0.0,13.818297424575029,92.76321843947606,6152538,85017600,2.7283519026462533,0.0,1,1,0.0,12,12,58.333333333333336,5,12,50.0,6,12,72.91666666666666,39,144,92.25260416666666,714,9216,90.74164496527779,3413,36864,76.953125,2124,9216,4.998561859130859,6.0054779052734375,0.0,1.0270309448242188,1.4906902313232422,3.0909059047698975,0.2307315170764923
gt,0.825,42,250,0.05,16,137.99979496002197,1.0,0.0455009605835017,0.9894179894179894,0.04474181791496997,0.0449499107798729,0.0,0.010582010582010581,prob_diff,0.18377642209331194,0.08236225135624409,0.20528851449489594,0.0,16.133278074062606,93.80163166214996,5269704,85017600,2.7821803499230806,0.0,1,1,0.0,12,12,58.333333333333336,5,12,58.333333333333336,5,12,72.22222222222221,40,144,92.51302083333334,690,9216,92.74088541666666,2676,36864,79.93706597222221,1849,9216,4.997251033782959,5.008417129516602,0.0,0.9581137895584106,1.1969929933547974,2.6133434772491455,0.2051960974931717
gt,0.85,42,250,0.05,16,147.86931443214417,1.0,0.04653567916292016,0.9978991596638656,0.04512666170907354,0.04404452016984089,0.0,0.0021008403361344463,prob_diff,0.1874973991742501,0.08764633679619202,0.20511816556637102,0.0,16.628182024079663,93.98611346356519,5112862,85017600,2.7919663444271303,0.0,1,1,0.0,12,12,58.333333333333336,5,12,58.333333333333336,5,12,72.91666666666666,39,144,92.78428819444444,665,9216,92.85481770833334,2634,36864,80.67491319444444,1781,9216,4.9981513023376465,5.0300469398498535,0.0,0.9211511015892029,1.1890628337860107,2.619594097137451,0.2049722820520401
gt,0.875,42,250,0.05,16,137.96026182174683,1.0,0.04396958330761041,0.9905263157894737,0.04465943330719184,0.047652038393150034,0.0,0.0094736842105263,prob_diff,0.18241349856058756,0.08125303344180186,0.19686499486366907,0.0,17.861399442965755,94.40133454719964,4759851,85017600,2.814245955537656,0.0,1,1,0.0,12,12,58.333333333333336,5,12,58.333333333333336,5,12,74.30555555555556,37,144,93.15321180555556,631,9216,93.34581163194444,2453,36864,81.79253472222221,1678,9216,4.996325969696045,5.004340648651123,0.0,0.8653103113174438,1.0007432699203491,2.303443193435669,0.19680781662464142
gt,0.9,42,250,0.05,16,147.86387395858765,1.0,0.04480630082723653,0.9936775553213909,0.04473681066414317,0.05637392498900205,0.0,0.006322444678609096,prob_diff,0.18335471359583047,0.11209224909543991,0.19127277112924135,0.0,19.393125396906502,94.84353357422464,4383904,85017600,2.838367462255176,0.0,1,1,0.0,12,12,58.333333333333336,5,12,58.333333333333336,5,12,73.61111111111111,38,144,93.32682291666666,615,9216,94.03211805555556,2200,36864,83.30078125,1539,9216,4.997350215911865,4.9706830978393555,0.0,0.8396931290626526,0.8654714822769165,2.090482473373413,0.19116222858428955
gt,0.925,42,250,0.05,16,137.79591822624207,1.0,0.04781670025373073,0.9884816753926702,0.041932602764618854,0.05483926307868349,0.0,0.011518324607329822,prob_diff,0.17866442973415056,0.09651733841747046,0.18532500167687735,0.0,21.8025487801563,95.41338028831677,3899434,85017600,2.8700686055434725,0.0,1,1,0.0,12,12,58.333333333333336,5,12,58.333333333333336,5,12,75.0,36,144,93.89105902777779,563,9216,94.71299913194444,1949,36864,84.765625,1404,9216,4.99393367767334,4.999661922454834,0.0,0.7615396976470947,0.7122607231140137,1.8750395774841309,0.18531163036823273
gt,0.95,42,250,0.05,16,137.62174487113953,1.0,0.044428319972684066,0.9926778242677824,0.03483674669441977,0.08346695053024865,0.0,0.007322175732217606,prob_diff,0.1618298850953579,0.1334136569251617,0.16332547863324484,0.0,25.659857547854028,96.10286223087925,3313253,85017600,2.9093848775322133,0.0,1,1,0.0,12,12,58.333333333333336,5,12,66.66666666666666,4,12,78.47222222222221,31,144,94.10807291666666,543,9216,96.0205078125,1467,36864,87.72786458333334,1131,9216,4.994443893432617,3.9949426651000977,0.0,0.7265551686286926,0.5372205972671509,1.5058047771453857,0.1633189618587494
gt,0.975,42,250,0.05,16,137.37805342674255,1.0,0.044611443442491905,0.9672650475184794,0.02271283131007719,0.14744769853717768,0.0,0.032734952481520585,prob_diff,0.13016259670257568,0.20567204430699348,0.12822645281751952,0.0,31.425300705592214,96.81785065680518,2705387,85017600,2.951309672650585,0.0,1,1,0.0,12,12,66.66666666666666,4,12,75.0,3,12,79.16666666666666,30,144,95.23654513888889,439,9216,96.73665364583334,1203,36864,89.86545138888889,934,9216,3.997202157974243,3.002152919769287,0.0,0.5815455913543701,0.4194886386394501,1.2313604354858398,0.12821872532367706
gt,1.0,42,250,0.05,16,147.33839893341064,1.0,0.04702894092951808,0.27061310782241016,-0.00045107750461947384,0.5539238366079822,0.0,0.7293868921775899,prob_diff,0.00014657698808990134,1.7780181444608247,0.00014657698808990134,0.0,inf,100.0,0,85017600,3.1535615840376408,0.0,1,1,0.0,12,12,100.0,0,12,100.0,0,12,100.0,0,144,100.0,0,9216,100.0,0,36864,100.0,0,9216,0.0010080577339977026,0.001023666001856327,0.0,0.002051848452538252,0.004395651631057262,0.0020526377484202385,0.0001462758518755436
